기사제목,언론사,리뷰횟수,섹션
"지성호 “김정은, 지난 주말 수술 쇼크로 사망했다”",국민일보,424231,정치
"지성호 ""김정은 지난 주말 사망.. 99% 확신"" 주장",조선일보,422415,정치
"[인터뷰] ""김정은 사망 99% 확신"" 지성호 주장 이유는?",SBS,354104,정치
"휴가 취소하고 걸어서 곰탕집 간 文 ""식당 이용 활발했으면""",중앙일보,269740,정치
"지성호 ""김정은 사망 99% 확신"", 청와대 ""특이동향 없다""(종합)",연합뉴스,254369,정치
사라진 김정은… 평양도 수군거리기 시작했다,조선일보,236975,정치
코로나 수그러들자 文지지율 심상찮다···9주연속 올라 64%,중앙일보,220785,정치
지성호 “김정은 지난 주말 사망 99% 확신”…정부 “이상 없다”,중앙일보,200135,정치
"1주일만에 또... '죽음의 백조' 6대 출격, 32시간 날았다",조선일보,150879,정치
"文, 1년만에 삼청동서 식사 ""식당 이용 활발해졌으면…""",매일경제,143410,정치
'김여정 후계자설' 솔솔...위상 변화 주목,YTN,136811,정치
"이번엔 지성호 ""김정은 사망 99%""…""근거없는 상상""",MBC,136489,정치
"60대 보수도 ""문 대통령, 잘한다""…지지율 또 올라 64%(종합)",뉴스1,128017,정치
"부담 각오한 지성호 ""김정은 사망으로 알고 있다""",파이낸셜뉴스,127930,정치
靑 “특이동향 없다”는데…지성호 “北김정은 사망 99%확신”(종합),이데일리,123073,정치
美 “김정은 유고..김여정 승계 가능성 커”,파이낸셜뉴스,119823,정치
"지성호 당선자 “지난 주말 김정은 사망 99% 확신…청, “특이동향 없어“",한겨레,119431,정치
"'정수장학회' 양정숙, 어떻게 민주당에 들어갔을까?",YTN,112105,정치
"“15년 성폭행한 친부, 보복 두렵다” 청원에 청와대 답변은",국민일보,109165,정치
"문정인이 틀렸나... 대만 정보수장 ""北김정은 아프다""",서울경제,108095,정치
"지성호 ""김정은, 수술 후유증으로 지난 주말 사망""…정부는 ""특이동향 없다""",조선비즈,104342,정치
"""김정은 후임은 누구""…외신들, '백두혈통' 김여정에 주목",연합뉴스,96254,정치
"""100% 지급 오늘 발표"" 기재부 들쑤신 이인영의 '모닝 통첩'",중앙일보,95542,정치
‘축전’ 보내고 ‘감사’ 표하고…20일 째 안 보이는 김정은의 바쁜 일정,KBS,94711,정치
"[전문]홍준표 “통합당, 황교안의 무능과 박형준의 몽상이 만든 잡탕”",서울경제,94085,정치
이준석 “지금 통합당 대표 뽑으면 ‘무관심’이 1등 할 것”,경향신문,93641,정치
"지성호 ""김정은 지난 주말 사망"" vs 靑 ""특이 동향 없어""",한국경제,87460,정치
김정은 사망설 진실은?···지성호 “이번 주말께 사망 발표할 것”,서울경제,85790,정치
"'사전투표 조작 주장' 민경욱 ""나우 유 씨 미?""",JTBC,84406,정치
"지성호 ""김정은 사망 99% 확신…심혈관 수술 후유증""",뉴시스,83097,정치
"[속보] 사망설 김정은, 비료공장 준공식 참석…김여정이 수행",중앙일보,457048,정치
"""김정은 못걸어""""99% 사망""…머쓱해진 北출신 태영호·지성호",중앙일보,433198,정치
"김정은 죽었다던 지성호·태영호 ""아직도 의문, 좀더 지켜보자""",머니투데이,405759,정치
20일만에 등장한 김정은 동영상 보니...웃고 있지만 다리 불편해보여,조선일보,321943,정치
"'사망설'김정은, 20일만에 공개활동…어제 비료공장 준공식 참석(종합)",연합뉴스,321930,정치
"사망설로 세계를 흔든 김정은, '보란 듯' 함박웃음으로 건재과시",연합뉴스,319456,정치
"외신도 긴급보도…WP ""김정은, 부하 발열로 원산 가있었다""",중앙일보,317637,정치
"잠행 깬 김정은, 20일만에 공개활동…비료공장 준공식 참석(종합)",뉴시스,299252,정치
"소방청 ""고성 산불 진화에 소방차 314대·인력 1천846명 투입""(종합)",연합뉴스,291135,정치
"태영호·지성호, 대북정보력 한계 노출…""무책임"" 비판 불가피",연합뉴스,287583,정치
[영상] 사망설 보란듯 20일만에 등장…김정은 웃고 박수쳤다,중앙일보,285950,정치
"사망설 김정은 20일만에 공개활동…北, 보란듯 사진 21장 공개",중앙일보,276663,정치
"김정은, 20일만에 나타났다...김여정 데리고 비료공장 준공식 참석",조선일보,249574,정치
20일 만에 모습 드러낸 김정은…“준공식에서 테이프 끊었다”,국민일보,247923,정치
지성호 “김정은 지난주 사망 99% 확신… 정보 출처는 못 밝혀”,세계일보,244482,정치
"""코마상태""·""사망 99%"" 김정은, 버젓이 등장",프레시안,239712,정치
20일만에 등장한 김정은…그래도 안풀리는 3대 궁금증,매일경제,229398,정치
"김정은, 비료공장 준공식 참석…20일 만에 건재함 과시",한국경제,224481,정치
‘사망설’ 제기했던 지성호·태영호 “속단 말고 더 지켜봐야”,서울신문,210953,정치
김정은 심혈관 질환만 불안? '180도 뒤틀린 왼손목' 걸린다,중앙일보,198332,정치
‘김정은 99% 사망’·‘못 걷는다’…태영호·지성호 “무책임”,KBS,191761,정치
"김정은이 탄 '의문의 카트'... 태영호 ""뇌졸중 앓았던 김정일이 탔던 것""",조선일보,190778,정치
'99% 사망''김여정 승계'...호들갑 정치인들 이제 무슨 말할까,뉴스1,182349,정치
"유도 올림픽 은메달리스트 왕기춘, 미성년자 성폭행 혐의로 구속",서울신문,178994,정치
"20일만 '깜짝' 등장 김정은, '사망설' 포함 온갖 억측 잠재워",연합뉴스,177096,정치
"지성호 ""北김정은 사망 99% 확신""... '주말 발표' 예언 통할까",서울경제,174888,정치
"북 조선중앙통신, 김정은 행보 20일 만에 공개···""노동절 맞아 비료공장 준공식 참석""",경향신문,172395,정치
"""北 특이동향 없다 자신"" 김정은 등장에 김연철 발언 재주목",중앙일보,172125,정치
'가짜뉴스' 비판 커지자...태영호·지성호가 내놓은 입장,YTN,163915,정치
"""김정은 팔아 장사 한 사람들 또 아무 일 없듯…""",미디어오늘,156115,정치
"합참 ""아군 GP에 북한 총탄 피탄·대응사격…피해 없어""(종합)",연합뉴스,270766,정치
"[밀톡]원산서 말 타는 김정은 표정, 미국의 '눈'이 보고 있었다",조선일보,228229,정치
"北, 우리 GP에 수차례 총격... 군, 대응 사격",조선일보,227794,정치
"北, 우리 GP에 수차례 총격…9·19 군사합의 이후 처음(종합)",뉴시스,215673,정치
"정총리 ""6일부터 생활속 거리두기…위기단계 조정도 논의""(종합)",연합뉴스,189385,정치
태영호 “못 걸어” 지성호 “사망”…컴백 김정은 ‘뚜벅뚜벅’,이데일리,185616,정치
합참 “북한이 GP에 수차례 총격… 우리군 대응사격”,국민일보,182209,정치
외신들 ‘김정은 건재’ 긴급 타전…CNN “사진 진위·촬영일 확인 못해”,이데일리,177554,정치
"GP에 총알자국 4개 선명한데…軍 ""안개 짙어 고의는 아닐것""",조선일보,155150,정치
"김정은 건재 자신했던 이유…한·미, 北 '훑고 들으며' 진실 캤다",중앙일보,153019,정치
"합참 ""北, 우리측 GP에 총탄 수발 발사...우리 군도 대응사격""",YTN,151904,정치
"靑 “김정은, 수술이나 시술 안 받았다···태영호·지성호 유감”",중앙일보,144444,정치
"[속보] 기재부 1차관 “전국민 고용보험, 간단한 문제 아냐”",세계일보,138963,정치
"北, 9·19 군사합의후 첫 총격…`의도적` `우발적` 해석 엇갈려",매일경제,137946,정치
"김정은이 탄 렉서스, 1주일전 안보리가 콕찍은 제재물품",조선일보,136746,정치
'걷지 못하는 상태' '99% 사망 확신' 억측 쏟아낸 당선인들,JTBC,125277,정치
"북, 남쪽  GP에 총격…군 “군사합의 위반”",한겨레,119875,정치
김정은 건재 과시 이틀 만에 ‘탕탕!’… 北 왜 이러나?,세계일보,118794,정치
[영상] 사망설 보란듯 20일만에 등장…김정은 웃고 박수쳤다,중앙일보,115949,정치
"[보고] 김정은 등장 다음날···北, 우리군 GP 향해 총쐈다",중앙일보,115495,정치
태영호 '추가 의문' 보란듯 김정은 '영상'도 바로 공개한 북한,이데일리,115469,정치
태영호 “김정은 신변 최고 기밀사항…정확한 상황 진단 한계”,세계일보,110949,정치
20일만에 등장한 김정은 동영상 보니...웃고 있지만 다리 불편해보여,조선일보,108355,정치
"북한, '멀쩡한' 김정은 영상 신속공개…걸어서 입장 후 손인사",연합뉴스,105187,정치
"우리 GP에 총쏘고 침묵하는 北···""트럼프 향한 도발 신호탄""",중앙일보,103501,정치
저소득층 280만 가구 오늘 현금 지급… 오후 5시부터 인출 가능,서울신문,100007,정치
"긴급재난지원금, 지원 시급한 280만 가구에 4일 현금지급(종합)",연합뉴스,96225,정치
"2주 넘게 잠행중인 황교안 ""일해야지···뭔 일 하느냐가 문제""",중앙일보,96005,정치
선거 끝났다고? ‘빚더미’ 앉을까 후보들은 안절부절,한겨레,95429,정치
"靑, 꺼내든 ‘전국민 고용보험’…“가입률 0.4%” 자영업자 설득이 관건",KBS,93694,정치
[단독] 각급학교 등교일정 ‘가닥’…고3 먼저 ‘13일 등교’ 유력,한겨레,338413,정치
"전문의 ""오른손목 흉터, 주삿바늘 가능성""  靑 ""수술도 시술도 안받았다""",조선일보,283272,정치
함께 미국간 나경원의 조기귀국···이인영은 그때가 뼈 아팠다,중앙일보,189649,정치
'김정은 스스로 못걸어' 태영호 여론뭇매에 결국 사과,미디어오늘,175593,정치
"[속보]靑 ""김정숙 여사 사진 잘못 사용 日방송, 사과 의사 표명""",파이낸셜뉴스,159741,정치
[단독] 北 '피의 숙청'때 쏜 고사총으로 우리 GP 공격했다,조선일보,137609,정치
"청와대 ""日 TV, 김정숙여사 사진 '김일성부인' 소개…사과키로""",연합뉴스,123130,정치
"NK뉴스 ""김정은 오른 손목의 점, 심장 시술·검진 흔적일수도""",중앙일보,110508,정치
"태영호 ""기대 만큼 실망 컸을 것…국민께 사과드린다""",연합뉴스,107374,정치
"의미심장 김세연 ""부산시장· 차기대권? 그럴 자격이…좀  더 고민""",뉴스1,104136,정치
"[속보] '김정은 99% 사망' 지성호도 사과 ""자리의 무게 느껴…신중히 처신""",아시아경제,103672,정치
"김일성 부인에 김정숙 여사 사진 쓴 日방송···靑 ""문서로 사과""",중앙일보,95788,정치
"[인터뷰] 박지원 ""김정일에 의하면 전방 북한군들 '사격의 유혹' 느껴""",JTBC,89436,정치
"[속보] 태영호 ""제 말 한마디 영향력 실감…국민께 사과""",아시아경제,85749,정치
"""나는 민주당 출신""이라던 양정숙,  與비례당에 재심신청...검찰 고발 6일로",조선비즈,84120,정치
"군 ""북한군, GP총격에 기관총 사용…한번 당기면 3∼4발씩 연발""",연합뉴스,82036,정치
"[전문]文대통령 “재난지원금 기부, 자발적 선택…자긍심이 보상”",동아일보,81344,정치
"北, 장성택 처형때 썼던 14.5㎜ 고사총으로 우리 GP 쐈다",중앙일보,80548,정치
"[속보] 부천선거관리위원회, 투표함 보전신청에 투표지 제출",서울신문,80415,정치
'0.39''63:36 의혹'···투표조작설 기름 부은 미시간대 보고서,중앙일보,79667,정치
"아일랜드 총리, 문대통령에 ""한국식 진단검사로 효과보고 있다""",연합뉴스,79381,정치
"떠나는 심재철 ""자강론 택도 없다…대선후보, 당내 상품 없어""",중앙일보,73173,정치
"김정은 '부활' 의심한 태영호?...당내서도 ""오버하지 마""",이데일리,72829,정치
"[속보] 정세균 “코로나와의 전쟁, 끝나지 않았다”",국민일보,70919,정치
"원유철, 태구민·지성호 뭇매에 ""北 도발엔 왜 사과 요구 않나""",중앙일보,70319,정치
결국 사과한 태영호…“무거운 책임감. 겸손하겠다”,국민일보,69920,정치
"北 적반하장···GP 총격엔 침묵한 채 ""韓, 북침 준비에 광분""",중앙일보,69135,정치
"[밀톡]원산서 말 타는 김정은 표정, 미국의 '눈'이 보고 있었다",조선일보,68689,정치
"靑 ""김정은 수술 받은 적 없다""...태영호·지성호 당선인 거듭 비판",YTN,68158,정치
"[레이더P] 文대통령, 40대 여성 첫 차관급 발탁…박수경 靑 과기보좌관",매일경제,67341,정치
GP총격 기사 공유했을 뿐인데 '반문 연예인'···참 이상한 낙인,중앙일보,251566,정치
홍준표 “盧 당선 때 나도 재검표 해봤는데…” vs 이용호 “사전투표 개선·폐지해야”,세계일보,202478,정치
"'미스터리 환자' 늘어난 대구…권영진 ""우린 생활방역 전환 못해""",머니투데이,167106,정치
"'아일랜드 안철수' 文대통령에 전화 ""한국처럼 했습니다""",머니투데이,164045,정치
사전투표 조작설 이어 폐지론 등장,한국경제,137338,정치
"박수현 ""불출마 어떤가"" 임종석 ""고맙습니다""···그날밤 부산선",중앙일보,126712,정치
"""신뢰 깨졌다"" 상임위 불가론···탈탈 털리는 태영호·지성호",중앙일보,119060,정치
통합당에 먼저 손 내민 안철수 “총선 평가 함께 해보자”,중앙일보,118840,정치
"홍준표 ""지금 어느 시댄데 투표조작·바꿔치기 할 수 있나""",연합뉴스,115398,정치
"대한민국 국민이 안보 걱정하는데, 왜 욕을 먹습니까",조선일보,113034,정치
"'문재인 마인크래프트' 변신…""코로나 참아준 어린이 위해""",한국경제,111387,정치
"홍준표 ""지금 어느 시대인데, 자유당때처럼 조작투표 하겠나""",중앙일보,109698,정치
"이재명 ""재난기본소득 바가지 씌우는 점포 세무조사""",오마이뉴스,103857,정치
[팩트체크] 개학해도 에어컨 못 켠다? 떠도는 '공문' 확인해보니,JTBC,101135,정치
"호남 유일 무소속 당선자 이용호 ""사전투표, 줄이거나 없애자""",조선일보,100902,정치
홍준표 “투표함 바꿔치기? 지금이 자유당 시절인가”,한겨레,100340,정치
"""취업자면 모두 가입""...'전국민고용보험제' 검토 돌입",한국경제TV,99280,정치
"'마인크래프트' 변신한 文, 어린이날 맞아 청와대 '랜선 초청'",중앙일보,98005,정치
"1주택자 등 종부세율 인상, 2020년 납부분부터 적용 못한다",연합뉴스,96821,정치
"""사전투표 없애자""…존폐 논란으로 번진 선거 부정 의혹",한국경제,96735,정치
"[영상] ""어린이날 축하""…'게임 캐릭터' 변신한 文 부부",SBS,87929,정치
"홍준표, ‘투표 조작설’에 “어느 시대인데 투표함 바꿔치기를…흥분할 일 아냐”",경향신문,86145,정치
"北, `김정은 신변이상설` 놓고 또 남한만 비난…""사람들 혼돈 빠뜨려""",매일경제,84185,정치
"[밀톡] 웬만한 장갑차도 관통, 北이 GP에 쏜 14.5mm 고사총 위력",조선일보,80663,정치
왜 6번에 붉은 인주 안 찍혔을까,한겨레,80626,정치
"중대본에 떡 돌린 문 대통령 ""100일의 정성에 코로나 안정""",중앙일보,77067,정치
"北, ‘김정은 신변이상설’ 놓고 남한 비난… “혼돈 빠뜨려”",국민일보,77028,정치
"'U2 보노 친구' 아일랜드 총리도 ""韓 코로나 의료장비 구입 원해""",파이낸셜뉴스,76700,정치
"마인크래프트 속 청와대엔 찡찡이, 마루도 있다...'지하 금'은 靑도 몰랐다",경향신문,76624,정치
"[초선언박싱]文·이낙연 누가 일하기 편하나 묻자, 윤영찬 ""노코멘트""",중앙일보,75453,정치
"장제원 ""이낙연, 이천 유가족과 나눈 대화…등골 오싹하다""",중앙일보,466905,정치
"""차라리 가질 말지"" ""등골이 오싹""…이낙연에 쏟아지는 비판",조선일보,310745,정치
"""저 의원 아니에요"" ""그럼 나가라""",조선일보,234870,정치
"장제원 ""이낙연 조문발언 등골 오싹... 눈물 없는 정치 진수""",조선일보,180482,정치
"이낙연에 온 문자 ""이천 다시 가지 말아야···잘못 시인하게 돼""",중앙일보,149258,정치
"""오만해진건가"" ""차라리 조문말지""…이낙연, 이천 유가족 면담에 비판 쏟아내는 野",조선비즈,146678,정치
“뭐 하러 왔나” 유가족들에게 원성 들은 이낙연,국민일보,134366,정치
"등골 오싹하다던 장제원, 이낙연 사과에 ""대인의 풍모""",중앙일보,126305,정치
"문희상 ""20대 국회, 개혁입법 제대로 못해…선거개혁은 완전 실패""",중앙일보,125871,정치
[포착] “유족과 말다툼 상상 못해” 국화 든 이낙연 조문 장면,국민일보,121815,정치
"[속보] 국정원 ""김정은 심장수술 징후 無…코로나 겹쳐 공개활동 대폭 축소""",헤럴드경제,116635,정치
"이낙연 이천 조문 발언 논란…""대정부질의 하나"" ""등골 오싹""",중앙일보,115875,정치
"홍준표 “김정은 거짓정보 생산하던 유튜버들, 사과도 없이 부정선거 올인”",세계일보,115121,정치
[속보]文대통령 “프로야구 개막 美日서 생중계…전세계가 놀란 K방역 성과”,헤럴드경제,108354,정치
"[속보] 국정원 ""김정은 건강이상설 사실무근…심장수술 징후 없어""",연합뉴스,102153,정치
“북한 평양 인근에 미사일 지원시설 또 지었다”,채널A,101176,정치
"건강이상설에 김정은 발끈했나?...北 매체 ""남한 가짜뉴스 성행""",YTN,100235,정치
"""이천 두번 가시면 안됩니다"" 누가 이 문자를 이낙연에게 보냈나",조선일보,92010,정치
“그럼 나가라” 조문 갔다 원성 들은 이낙연,채널A,86735,정치
"[속보]이낙연, 이천 유가족 논란에 ""부끄럽게 생각…장제원 충고 감사""",뉴시스,85893,정치
"기름장어 비판 받은 이낙연 ""수양 부족, 부끄럽다"" 결국 사과",조선일보,84819,정치
"[단독] '北의 GP 총격' 대응사격에 20분이나 걸렸는데… 軍은 ""적절한 조치""",조선일보,84066,정치
"이낙연 “저의 수양 부족, 부끄럽다” 이천 화재 발언 논란 사과",경향신문,83647,정치
"""국회의원 아니다"" 이낙연 발언에 野 ""오만해진 것, 등골이 오싹"" 맹폭",서울경제,83105,정치
[속보] 안철수 “어떤 당과도 손잡겠다”… 통합당과 연대 시사,세계일보,83074,정치
"이천 유족들에게 `유체이탈식 화법` 쓴 `이낙연`…장제원 ""소름""",매일경제,80805,정치
"與 비례당선자 ""두산, 원전 노동자 훈련시켜 풍력 투자해야""",조선일보,79463,정치
이준석 '한국당+국민의당 교섭단체' 제안…안철수측 “있을 수 없는 일”,중앙일보,78908,정치
"[속보] “부당한 처사” 양정숙, 시민당 지도부 맞고소",세계일보,76313,정치
"장제원 “이낙연, 이천 합동분향소 발언 ‘소름’”",이데일리,75543,정치
"“아들에게 물려줘라, 세금 내고” 이재용 사과에 박용진 반응",국민일보,181924,정치
"용인 코로나19 확진자, 이태원 게이클럽 방문...""명부 확보""",이데일리,161823,정치
"이낙연 ""부끄럽다, 제 수양 부족""",조선일보,139789,정치
"""앗, 방탄모 바꿔썼네""…훈련병 손흥민의 실수?",조선일보,120325,정치
"[속보] 민경욱, “4·15총선은 부정선거” 선거무효소송 제기",세계일보,115515,정치
김문수 “文정부에 무릎 꿇은 이재용…감옥 안 간다면 뭐든 한단 건가”,세계일보,95429,정치
'호위무사' 없는 외로운 이낙연,데일리안,89606,정치
“매표용 현금 살포에 총선 패배”…남 탓만 하며 물러나는 심재철,경향신문,86730,정치
"원내대표 마지막날, 이인영 ""이재용 사법적 회피로 안 본다""",중앙일보,86191,정치
[단독]트럼프 요구 방위비 연간 13억달러… 작년대비 49% 인상,동아일보,85913,정치
"‘위로의 정석’ 이낙연, 왜 이천화재 유족에게 까칠했나",국민일보,85553,정치
"[속보] 文대통령 부부, 긴급재난지원금 60만원 전액 기부",중앙일보,82525,정치
"[단독] 北교대 7시인데···""7시 41분 교대시간 오발""이라는 軍",중앙일보,77930,정치
"통합당 지지율, 창당 이후 최저…대구·경북서 14.7%p 급락 [리얼미터]",중앙일보,73348,정치
"유효사거리 밖이라더니, 北기관총 3㎞까지 타격",조선일보,73058,정치
슈퍼여당은 왜 '친문핵심' 아닌 김태년을 선택했나,노컷뉴스,71063,정치
"[비하인드+] 장제원 ""이낙연 소름""…하루 만에 ""대인배""",JTBC,69466,정치
"안철수 ""우리 안에 동의하면, 여당이든 야당이든 손잡겠다""",중앙일보,68711,정치
"'조문 논란'에 이낙연은 ""부끄럽다""고 했다",머니투데이,67258,정치
안철수 “나는 보수라고 말한 적 없어…여당과도 손 잡을 수 있다”,헤럴드경제,65448,정치
"[종합]이낙연 ""유족들 슬픔 이해…저의 수양 부족"" '조문 발언 논란' 사과",아시아경제,65223,정치
"안철수, ""마라톤 말고 할 수 있는 게 없었다"" 토로",서울경제,63036,정치
연일 안철수 저격 이준석 “본심은 野단일주자”…'X신' 악연도,중앙일보,62167,정치
"유시민 ""혁신도시 10개중 영남빼고 민주당 당선, 효과 느낀 것""",중앙일보,58883,정치
"[속보] 문 대통령, 긴급재난지원금 전액 기부 의사 밝혀",한국일보,58629,정치
"재난지원금 이어…여권 ""전 국민 고용보험 논의 필요 공감""",JTBC,56693,정치
"구두 수선 父, 생선 팔던 母...흙수저, 수퍼여당 원내대표 되다",조선일보,56564,정치
"떠나는 심재철의 총선 패배 원인 분석 ""매표용 현금살포 때문""",프레시안,56140,정치
"문 대통령, 긴급재난지원금 전액 기부하기로(종합)",연합뉴스,55627,정치
北 GP총격 사과도 없는데… 판문점 견학 재개 꺼내든 정부,조선일보,55338,정치
"“2015년 일본서 약속한 10억엔, 윤미향은 사전에 알았다”",중앙일보,186572,정치
O·X표에 '85표'···'울컥' 김태년은 전날밤 이미 승리 예견했다,중앙일보,179219,정치
[팩트와이] ① '한국 부정 선거' 보고서 쓴 美 교수 단독 인터뷰,YTN,165158,정치
"파탄난 30년 인연...이용수 할머니 ""수요집회 성금 어디 썼나"" 윤미향 측 ""영수증 있다""",조선일보,129926,정치
'지침 어기고' 이태원 클럽 간 사이버사 부사관 확진...국방부 비상,YTN,124770,정치
[속보] ‘일본서 한국행’ 주한미군 병사 코로나 확진,서울신문,114668,정치
"윤미향 ""이용수 할머니 '위안부 피해자 제가 아니고 친구...'라며 전화""",조선일보,113888,정치
군 장성 인사 '청와대 근무 장군들 영전’···사단장 안거치고 군단장 직행도,경향신문,98110,정치
"방사광가속기 청주 낙점되자...전남지사 ""나주에 하나 더 만들자""",조선일보,90165,정치
"美관리 ""우린 가난한 나라, 한국이 도와야"" 외교부 ""53% 한번에 올리다니 지나치다""",조선일보,86140,정치
"개헌안 폐기에 뿔난 강창일 ""심재철 종알종알…그러지 말라!""",중앙일보,85695,정치
"윤미향 당선인 ""박근혜 정부 10억엔? 이용수 할머니도 저도 모두가 알고 있었다""",여성신문,82233,정치
"민경욱 ""조작선거 빼박…세상 뒤집어질 증거 폭로할 것""",뉴시스,79775,정치
고용보험 사각지대 93만명에 150만원 지원,서울신문,79314,정치
"美 방위비 '50% 인상' 요구하며 ""너무 내렸다""…韓 ""의미 없어""",연합뉴스,77313,정치
"'1조 황금알' 방사광가속기 차지한 청주 환호…나주는 ""암담""",중앙일보,74666,정치
"이재명 ""지역화폐 차별업소 15곳 고발·세무조사 착수""",더팩트,73910,정치
"[속보] 북한 김정은, 시진핑 중국 국가주석에 ‘구두 친서’ 발송",뉴스1,70018,정치
"[속보] 김정은, 시진핑에 “코로나전쟁 승기 축하” 구두친서",서울신문,69513,정치
"통합당 새 원내대표에 주호영…""강한 야당으로 다시 태어날 것""(종합)",연합뉴스,67994,정치
"이해찬 향한 ""내당 간섭말라"" 원유철 말에 뒤집어진건 통합당",중앙일보,67419,정치
"이용수 할머니 비판에 윤미향 ""할머니 기억 달라졌다""",오마이뉴스,65769,정치
"이용수 할머니 폭로에…윤미향 ""지장 찍힌 영수증 있다""",중앙일보,64058,정치
"돌아온 北김정은, 시진핑에 구두친서…“코로나 승기 축하”(종합)",이데일리,63211,정치
"[속보] 북한 매체 “김정은, 시진핑에게 코로나19 구두 친서”",국민일보,58786,정치
"[속보]대전현충원 '전두환' 현판, 안중근 글씨체로 교체",헤럴드경제,58651,정치
‘강공’ 택한 巨與… ‘재수’ 끝에 원내사령탑 오른 김태년,이데일리,58308,정치
"""임기 3년 차 이런 적 없었다""… 문 대통령 지지도 70% 돌파",세계일보,56720,정치
"[팩트와이] ② ""뭔가 잘못됐다""...사전투표 분석 오류 가능성",YTN,54433,정치
"민경욱 ""조작선거 '빼박증거' 왜 없겠나… 세상 뒤집어질 증거 공개""",세계일보,53395,정치
민경욱이 ‘빼박 조작 증거’라며 비교한 민주당 사진,국민일보,240406,정치
"[속보] 정세균 총리 ""이태원 클럽 집단감염 확산 방지에 모든 자원 활용""",아시아경제,150049,정치
청와대 생활 3년… ‘유쾌한 정숙씨’가 달라졌어요,한국일보,127871,정치
이태원 클럽서 육군 간부 또 감염...기강해이 도마,YTN,117062,정치
"[단독] 한수원 반발로 감사 표류하자… 崔감사원장, 사퇴도 검토",조선일보,105226,정치
[국회 말말말]떠나는 강창일의 쓴소리 “종알종알… 그렇게 정치하지 마라”,이데일리,97839,정치
[단독] 민주당 ‘전국민 고용보험 추진 어렵다’ 결론 내려,한겨레,92791,정치
'여야 신임 원내사령탑' 주호영 부친상 빈소서 첫 회동(종합),연합뉴스,90939,정치
클럽 간 군인 2명도 확진…76일 만에 휴가 비상,MBN,88049,정치
"민경욱 ""세상 뒤집어질 '선거 조작' 빼박 증거, 11일 공개""",한국경제,86817,정치
"이광재 ""문재인 대통령은 조선3대왕 '태종'""",조선일보,82211,정치
"""앉아서 오줌 누는 상관 싫으면…"" 최초 여성 정치인의 일갈",중앙일보,81554,정치
'1100억원 사드 운영비' 계산 끝낸 미국…분담금 압박?,JTBC,81138,정치
F-35A는 왜 천덕꾸러기가 됐나 [박수찬의 軍],세계일보,80326,정치
"""대통령님, 이대로 가면 저희 가족은 죽습니다""",머니투데이,76279,정치
박원순 “클럽 등 모든 유흥시설 집합금지명령 발령”,국민일보,74736,정치
"""청와대보다 좋다""…문 대통령의 급식 '1Pick'은?",머니투데이,72412,정치
“숨은 쉬게 됐다” 재난기본소득 한 달 이야기,한겨레,68654,정치
"두손 꼭 잡고 '위로의 말'…김태년·주호영, 원내사령탑 '첫 만남'",머니투데이,67439,정치
[팩트체크K] 어린이날 청와대 영상 주인공이 北 소년단?,KBS,67365,정치
"정세균 총리 ""클럽 방문자 신분 공개 원치 않는 사람 많아""",YTN,63442,정치
"[인터뷰] 주호영 ""무소속 당선인 뜻 같이 한다면 복당 서둘러야""",JTBC,61796,정치
"""속 시원해서 좋은데 대선주자로는..."" 평가에 이재명 반응",이데일리,60561,정치
"육군 하사도 클럽서 감염…""외출금지령 어겼다""",MBC,59705,정치
주호영 부친상 빈소 찾은 김태년…여야 새 원내대표 첫 회동,중앙일보,54775,정치
"이광재 ""노무현·문재인은 태종···세종의 시대 올 때 됐다""",중앙일보,53022,정치
‘국민도 개헌안 발의’ 정족수 미달로 폐기 수순,KBS,51809,정치
"""국회의원 월급 반납"" 국민청원에 靑 답변은?",파이낸셜뉴스,51623,정치
"[현장영상] ""우려했던 '조용한 전파자'로 집단감염 추정""",YTN,51545,정치
이광재 당선인 “문 대통령은 태종 이방원같다”,서울신문,48925,정치
[단독] 금주 지침 무시하고 이태원서 음주한 군 장병 추가 적발,한국일보,350180,정치
"[단독] 윤미향, 위안부 협상 과정서 외교부와 접촉…“수차례 의견 교환”",국민일보,205416,정치
장병들 잇따라 '이태원 자백'···'軍의 한수' 이틀만에 통했다,중앙일보,198576,정치
"""두번은 오지마세요""…조국 전 장관 차량 닦아주는 시민들 영상 화제",매일경제,144263,정치
"윤봉길 손녀 윤주경 ""통합당, 나 하나론 친일프레임 못 벗어""",중앙일보,139905,정치
"진중권 ""文대통령이 태종? 징그럽게 얽혀 백년은 해드실 듯""",조선일보,136280,정치
"[속보] 정세균 총리 “특정 커뮤니티 비판, 방역에 도움 안돼”",세계일보,130588,정치
"""조국의 뻔뻔한 모습이야말로...양정숙과 윤미향의 숙주""",조선일보,121574,정치
"이광재 ""문재인 대통령은 조선3대왕 '태종'""",조선일보,111506,정치
"조국 지지자 '물티슈 세차'에···진중권 ""머리카락으로 발 닦을듯""",중앙일보,107973,정치
"윤미향 사수 나선 與  ""이용수 할머니논란, 사전기획 의심""",중앙일보,106128,정치
"[속보] 정세균 “정부 지지율 70%, 국민 기대감 크다는 뜻”",세계일보,96895,정치
"보수색 강했던 ‘스윙보터’ 50대, 왜 범진보로 기울었나",한겨레,93753,정치
주호영 喪家 '차분'…김태년 맞이해 첫 원내 협의,데일리안,89396,정치
