dis_price,dis_rate,main_category_name,ori_price,sub_category_name,title
53760,4,컴퓨터/전자,53760,ALL,[위닉스](정품) 공기청정기필터 AES330 전용필터 CAF-A0S3
236610,1,컴퓨터/전자,236610,ALL,[블루스카이]최대혜택가 17.9만 삼성 공기청정기 AX40R3030WMD
380000,5,컴퓨터/전자,380000,ALL,LG G패드5 10.1 LMT600 태블릿PC LTE 실구매가30만원
59000,66,도서/음반,59000,ALL,푸름이닷컴 푸름이 시리즈 (전20종)
21000,0,도서/음반,21000,ALL,(신사고) 쎈연산/일일독해+일일어휘/일일사회+일일과학/우공비중학국어 학년별 선택구매
44000,8,도서/음반,44000,ALL,(천재교육) 우등생 해법 / 똑똑한 하루 독해 단계별 선택구매
14900,69,가구/침구,14900,ALL,[쁘리엘르]3중직 암막커튼1+1 대형 중형 방한커튼 커튼봉 부자재
10900,63,가구/침구,10900,ALL,[코코도르]디퓨저 1+1+1 세트/선물추천/방향제/새해
176930,0,가구/침구,176930,ALL,[시디즈]시디즈 S500ACF new 링고 고정형+발받침
24900,70,가구/침구,24900,ALL,에코항균 순면 어린이집 낮잠이불세트 일체형 분리형
25300,0,여행,25300,ALL,|카드10%할인|제주 아쿠아플라넷 입장권/제주도/제주여행/아쿠아리움/제주아쿠아/입장권
23900,48,여행,23900,ALL,(공식판매처) 에버랜드 종일 오후권(~20/3/15)
170000,0,여행,170000,ALL,평창 휘닉스 스노우파크 S시즌권/스프링시즌권/휘닉스파크/스노우파크/스키/보드/시즌권
30000,46,여행,30000,ALL,(공식판매처)얼리버드 에버랜드 종일권(~20/6/30)
980,30,e쿠폰/티켓,980,ALL,[GS25](스마일클럽) 빙그레) 바나나우유240ml
28950,3,e쿠폰/티켓,28950,ALL,[구글플레이](카드가능) 기프트코드 3만원 / 구글 기프트카드
48250,3,e쿠폰/티켓,48250,ALL,[구글플레이](카드가능) 기프트코드 5만원 / 구글 기프트카드
10000,0,e쿠폰/티켓,10000,ALL,[이디야커피](이디야커피) 모바일 1만원권+15%캐시백
9900,56,화장품/헤어,9900,ALL,[입큰]스킨피니쉬팩트 본품+리필/BEST팩트 본품 균일가
31400,0,화장품/헤어,31400,ALL,[뉴트로지나]바디에멀젼 310ml 3개
15800,50,화장품/헤어,15800,ALL,[온더바디]퓨어시카 베이비파우더 바디워시 1000ml 2개
15900,69,유아동/출산,15900,ALL,[또래친구]봄신상 상하복9900원~신학기/주니어/바바리/코트
31200,35,유아동/출산,31200,ALL,스콜라스틱 파닉스리더스 A~F 워크북 세트
5900,69,유아동/출산,5900,ALL,봄신상/국산/아동/내복/실내복/30수/주니어/내의/잠옷
20900,30,식품,20900,ALL,[진라면]진라면 순한맛 / 매운맛 40개
13600,12,식품,13600,ALL,[고향만두]해태 고향만두1200g+1200g 슈퍼세일 쿠폰적용 10600원
26900,10,식품,26900,ALL,[신라면]신라면 멀티 40개입 라면/봉지라면
9900,69,패션의류,9900,ALL,코코리겨울~간절기 쭉입기좋은 롱티박스티원피스
14000,69,패션의류,14000,ALL,[행텐]행텐/행텐주니어 본사직영 봄신상/간절기 득템
9900,69,패션의류,9900,ALL,요즘에/봄신상12%할인/청바지/슬랙스/빅사이즈
20900,0,스포츠/자동차,20900,ALL,30매세트 특가 3D 입체마스크 30장 특가 연예인 마스크
18900,69,스포츠/자동차,18900,ALL,[카파]카파 봄맞이 트레이닝복 상하세트/맨투맨/후드/팬츠
189000,50,스포츠/자동차,189000,ALL,[파인뷰]파인뷰 X500 FHD/FHD 블랙박스 NEW 32GB 메모리업 설치
44900,0,생활/주방/건강,44900,ALL,(재고확보)KF94 마스크/미세먼지/ 10매set(개별포장)
29900,14,생활/주방/건강,29900,ALL,[나무야나무야]나무야 도톰한 3겹데코 30m 30롤 3팩/화장지/휴지
11700,60,생활/주방/건강,11700,ALL,올 바른생활 프리미엄 손소독제 3개 세트 에탄올 70%
6900,0,생활/주방/건강,6900,ALL,나노 필터 리필 마스크 KIFA인증 99.9% 완벽차단 10매
22840,21,신발/잡화,22840,ALL,[디키즈](광주신세계)  남여공용 3 COMBO 백팩(DMP5UBSB512)
50000,49,신발/잡화,50000,ALL,[금강제화]금강제화 봄신상 남성화 여성화 모음
71100,70,신발/잡화,71100,ALL,[랩]랩 봄신상 BEST 가방/자켓/트렌치/원피스 ~50%할인
9900,0,신발/잡화,9900,ALL,[카카오프렌즈]신학기 카카오 MLB 실내화 슬리퍼 모음
21900,8,컴퓨터/전자,21900,ALL,[신지모루]OG 차량용 고속 무선충전 전자동 거치대
15900,14,컴퓨터/전자,15900,ALL,화이트스틱 USB메모리 64G 1+1 벌크포장 외장메모리
10000,50,컴퓨터/전자,10000,ALL,카카오 갤럭시노트10 9 8S 플러스 아이폰11 프로 맥스
